isrc,title,artist
TCAFY2118876,FINGERS CROSSED,LAUREN SPENCER-SMITH
USRC12003059,ESSENCE,WIZKID FT TEMS
GBAHS1900729,ONE TOUCH,JESS GLYNNE & JAX JONES
UK4ZF1900052,SORRY,JOEL CORRY
USRC11803551,UNDECIDED,CHRIS BROWN
GBCEN1800173,BREATHE,CAMELPHAT/CRISTOPH/JEM COOKE
GB1102000148,SCORPION,FREDO
USUMV2103143,MOTH TO A FLAME,SWEDISH HOUSE MAFIA/WEEKND
USUG12104403,WAY 2 SEXY,DRAKE/YOUNG THUG/FUTURE
GBAHS2100318,BAD HABITS,ED SHEERAN
USUM72222388,PLAYERS,COI LERAY
GBSXS2011102,BLACK MAGIC,JONASU
GB2GX2100003,BRINGING IT BACK,DIGGA D & AJ TRACEY
USSM19400325,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
USATV2200290,LIGHT SWITCH,CHARLIE PUTH
ZZOPM2119413,STRAIGHT BACK TO IT,CENTRAL CEE
GBCEN2100229,MELODY,SIGALA
USRE11100705,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE
USUG12103658,WILDEST DREAMS (TAYLOR'S VERSION),TAYLOR SWIFT
USUM71900409,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,ARIANA GRANDE
GBHMU2000041,BREAK UP SONG,LITTLE MIX
QMJMT1801610,ATM,J COLE
GBCEN1900052,TURN ME ON,RITON & OLIVER HELDENS FT VULA
DEUM72206981,HOW I'M FEELING NOW,LEWIS CAPALDI
GB1102102278,COME ON HOME FOR CHRISTMAS,GEORGE EZRA
GBKPL1778698,BRUISES,LEWIS CAPALDI
GBAYE2101058,JUST FOR ME,PINKPANTHERESS
GBAHT8703085,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
USUG12004699,WILLOW,TAYLOR SWIFT
GBUM72103423,SWEET TALKER,YEARS & YEARS/GALANTIS
USUM72200695,NUMB LITTLE BUG,EM BEIHOLD
NLM5S1800214,OCEAN,MARTIN GARRIX FT KHALID
GBUM71900522,ALL DAY AND NIGHT,JAX JONES/MARTIN SOLVEIG/BEER
QZTVM2205058,US AGAINST THE WORLD,STRANDZ
GBUM72202219,JE M'APPELLE,BENZZ
USUM71918727,LOSE YOU TO LOVE ME,SELENA GOMEZ
USMC17201006,SWEET CAROLINE,NEIL DIAMOND
USUMV1800305,TAKI TAKI,DJ SNAKE/GOMEZ/CARDI B/OZUNA
GBAHS1800662,1999,CHARLI XCX FT TROYE SIVAN
GBUM72102420,REMEMBER,BECKY HILL & DAVID GUETTA
GBMA21868469,GANGSTA,DARKOO & ONE ACEN
GBAYE2202560,BOY'S A LIAR,PINKPANTHERESS
UKWLG2200001,CRAZY WHAT LOVE CAN DO,DAVID GUETTA/HILL/HENDERSON
USMC14246497,WHITE CHRISTMAS,BING CROSBY
GBAHS2100680,VISITING HOURS,ED SHEERAN
USQX91902803,CITY OF ANGELS,24KGOLDN
USAT21811659,PLEASE ME,CARDI B & BRUNO MARS
USWB11902408,10000 HOURS,DAN & SHAY FT JUSTIN BIEBER
DEC691800534,EMPTY SPACE,JAMES ARTHUR
GBUM71900581,DISASTER,DAVE FT J HUS
USUM71808583,BREATHIN,ARIANA GRANDE
GBUM72206309,READY TO FLY,SUB FOCUS & DIMENSION
GBHMU1800168,THE POWER OF LOVE,DALTON HARRIS FT JAMES ARTHUR
GBAHT1600301,IDGAF,DUA LIPA
GBAYE2000842,LOOSE,S1MBA FT KSI
GBUM71808052,DON'T CALL ME UP,MABEL
GBUM71902007,STINKING RICH,MOSTACK FT DAVE & J HUS
UK6KW2000395,DON'T STOP ME EATIN',LADBABY
USAT21704621,NEVER ENOUGH,LOREN ALLRED
USUM72004306,SOUR CANDY,LADY GAGA & BLACKPINK
GB2DY2100363,WARM,K-TRAP
USAT21801270,BE CAREFUL,CARDI B
GBAHS1900645,VOSSI BOP,STORMZY
USUG12101044,WHAT'S NEXT,DRAKE
GBUM71906399,PEE PEE,M HUNCHO
GBUM72205030,HOLD ME CLOSER,ELTON JOHN & BRITNEY SPEARS
QZDA51839408,THOTIANA,BLUEFACE
USWB12000762,BELIEVE IT,PARTYNEXTDOOR & RIHANNA
USUG12001904,COME & GO,JUICE WRLD & MARSHMELLO
TCAFZ2293638,EAZY,GAME FT KANYE WEST
USUG12106685,SACRIFICE,WEEKND
GBUM72202558,NO EXCUSES,BRU-C
USUG12208783,SUPERHERO (HEROES & VILLAINS),METRO BOOMIN/FUTURE/BROWN
GBARL1800469,GERMAN,EO
USUG11901618,OUTNUMBERED,DERMOT KENNEDY
CYA112001102,HOT IN IT,TIESTO & CHARLI XCX
QMCE31801827,MURDER ON MY MIND,YNW MELLY
GBAYE2000999,COOL WITH ME,DUTCHAVELLI FT M1LLIONZ
QM4TX2001949,ON,BTS
USSM12209320,STAR WALKIN',LIL NAS X
GBUM71800362,FAMILIAR,LIAM PAYNE & J BALVIN
USUM72020441,POV,ARIANA GRANDE
KRE671700001,BABY SHARK,PINKFONG
GBAHS2100222,OUR SONG,ANNE-MARIE & NIALL HORAN
USRC12001480,GO CRAZY,CHRIS BROWN & YOUNG THUG
GBARL1702291,MAKE YOUR OWN KIND OF MUSIC,PALOMA FAITH
GBUM72107603,FLOWERS (SAY MY NAME),ARRDEE
ZZOPM2237319,DOJA,CENTRAL CEE
QMJMT1902056,MIDDLE CHILD,J COLE
GB2GX1900156,NO DIET,DIGGA D
USAT21704210,SANTA'S COMING FOR US,SIA
GBUM72102728,TALK ABOUT,RAIN RADIO/DJ CRAIG GORMAN
USA2P2251865,LIKE CRAZY,JIMIN
QMJMT1801760,APES**T,CARTERS
QM7282022872,DYNAMITE,BTS
QMCE32200039,PUSHIN P,GUNNA/FUTURE/YOUNG THUG
USUG12001124,GIANTS,DERMOT KENNEDY
USSM12206232,CUFF IT,BEYONCE
USUG12105423,ALREADY DEAD,JUICE WRLD
USRE10400888,AMERICAN IDIOT,GREEN DAY
GBAYE1800222,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE
USAT22203706,2 BE LOVED (AM I READY),LIZZO
SEUM71301326,WAKE ME UP,AVICII
GBUM72105218,GANGSTERITUS,POTTER PAYPER/TIGGS DA AUTHOR
GB2DY1900693,NO CELLULAR SITE,D-BLOCK EUROPE
GB1101900897,LOVE OF MY LIFE,REMEDEE FT NOT3S & YOUNG ADZ
USATV2003257,THE BUSINESS,TIESTO
GB1101900800,BOTH,HEADIE ONE
GBMA22056410,DESTINED FOR GREATNESS,TOBI & MANNY FT JANELLE
GBAHS2201130,CELESTIAL,ED SHEERAN
USAT22004479,TAKE YOU DANCING,JASON DERULO
DED160000096,MARY'S BOY CHILD/OH MY LORD,BONEY M
USUG12004700,CHAMPAGNE PROBLEMS,TAYLOR SWIFT
USRC11901588,DON'T CHECK ON ME,CHRIS BROWN/JUSTIN BIEBER/INK
GBARL2001151,PRINCESS CUTS,HEADIE ONE FT YOUNG T & BUGSEY
GBK3W2202316,OH CAROLINE,1975
GBAHS1901369,OWN IT,STORMZY/ED SHEERAN/BURNA BOY
USUM72017013,HOLY,JUSTIN BIEBER FT CHANCE
GBUM72104337,IN THE FIRE,DAVE
GBAYE7300088,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD
GB2DY2000411,WE WON,D-BLOCK EUROPE
GBARL1701370,PRETTY SHINING PEOPLE,GEORGE EZRA
TCADE1707724,BEAUTIFUL,BAZZI FT CAMILA CABELLO
GB1102100074,READY,FREDO FT SUMMER WALKER
GB2DY2100832,MAKE YOU SMILE,D-BLOCK EUROPE FT AJ TRACEY
GBARL1801597,ALL I EVER WANTED,FREDO FT DAVE
USUG12002835,THE 1,TAYLOR SWIFT
USSM11901360,DON'T WORRY BOUT ME,ZARA LARSSON
USSM10018232,LET IT SNOW LET IT SNOW LET IT SNOW,FRANK SINATRA
USUM72204098,WHEN YOU'RE GONE,SHAWN MENDES
QM24S2103302,WASTING TIME,BRENT FAIYAZ FT DRAKE
GBUM72205880,I'LL BE WAITING,CIAN DUCROT
KSA012239180,CUPID,FIFTY FIFTY
USWB11701186,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA
GBAHS2201540,VOICES,KSI FT OLIVER TREE
USCM51800136,BED,NICKI MINAJ FT ARIANA GRANDE
USUV72101303,GHOST,JUSTIN BIEBER
USUG12100638,MR PERFECTLY FINE (TAYLOR'S VERSION),TAYLOR SWIFT
GBF088400001,DO THEY KNOW IT'S CHRISTMAS,BAND AID
US39N2202101,ONE UP,CENTRAL CEE
GBUM71906405,CAN'T FIGHT THIS FEELING,BASTILLE
DEUM71906724,BREAKING ME,TOPIC FT A7S
USUM71804955,YOUTH,SHAWN MENDES FT KHALID
ZZOPM2002121,MAINS,SKEPTA/CHIP/YOUNG ADZ
GB1101901472,NETFLIX & CHILL,FREDO
USUM72105936,HAPPIER THAN EVER,BILLIE EILISH
GB1101300705,ONE MORE SLEEP,LEONA LEWIS
USUM71807761,GHOST TOWN,KANYE WEST
GB5KW1900082,BOASTY,WILEY/STEFFLON DON/SEAN PAUL
USUG11802208,POWER OVER ME,DERMOT KENNEDY
USUM71807679,YIKES,KANYE WEST
USUG11901470,YOU NEED TO CALM DOWN,TAYLOR SWIFT
GB1102000253,FAKE FRIENDS,PS1 FT ALEX HOSKING
USQX92301932,DOGTOOTH,TYLER THE CREATOR
USSM11904230,LALALA,Y2K & BBNOS
USUYG1226220,WHOA (MIND IN AWE),XXXTENTACION
AUUM72200172,HOW DO I SAY GOODBYE,DEAN LEWIS
KRA402000111,HOW YOU LIKE THAT,BLACKPINK
USSM11807711,NO STYLIST,FRENCH MONTANA FT DRAKE
UK8E21800706,CASTLES,FREYA RIDINGS
GB8KE2156402,BALLING,VIBE CHEMISTRY
USIR10400813,MOCKINGBIRD,EMINEM
GBAHS1901152,SOUNDS OF THE SKENG,STORMZY
USSM12000925,DEATH BED,POWFU FT BEABADOOBEE
USUM71805272,GIRLS LIKE YOU,MAROON 5 FT CARDI B
GBAYE0001406,SANTA BABY,KYLIE MINOGUE
USCM51900314,MONEY IN THE GRAVE,DRAKE FT RICK ROSS
USSM10705090,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS
GBCEN1700257,LULLABY,SIGALA & PALOMA FAITH
ITB002100115,I WANNA BE YOUR SLAVE,MANESKIN
NL1TK1900001,ARCADE,DUNCAN LAURENCE
USCM51800191,NONSTOP,DRAKE
GBAHS1900716,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY
GBUM72200712,RUN,BECKY HILL/GALANTIS
GBUM72201160,STARLIGHT,DAVE
GBUM72102422,MY HEART GOES (LA DI DA),BECKY HILL & TOPIC
GBUM72205420,I'M NOT HERE TO MAKE FRIENDS,SAM SMITH/CALVIN HARRIS/REYEZ
USUM71822236,IMAGINE,ARIANA GRANDE
USUG11802103,DON'T CRY,LIL WAYNE FT XXXTENTACION
NGA3B2214004,CALM DOWN,REMA
QM6MZ1886155,IDOL,BTS
USUM71907349,IF I CAN'T HAVE YOU,SHAWN MENDES
GBUM72101418,LAST TIME,BECKY HILL
UKQNW1800009,PSYCH OUT,AJ TRACEY
GBCNR8500002,RUNNING UP THAT HILL,KATE BUSH
USAT22103685,ABCDEFU,GAYLE
USUM72208965,DIE HARD,KENDRICK LAMAR/BLXST/AMANDA
USRC12100788,KISS ME MORE,DOJA CAT FT SZA
GBUM72300569,HOME FOR MY HEART,ARRDEE/CAT BURNS
QMKSC1800039,LEAVE ME ALONE,FLIPP DINERO
USZ4V2000222,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX
USQX92004148,PUT YOUR RECORDS ON,RITT MOMNEY
USUV71801467,BACK TO YOU,SELENA GOMEZ
KRA402300002,FLOWER,JISOO
QMFME2102684,PERMISSION TO DANCE,BTS
QZHN61957747,ROXANNE,ARIZONA ZERVAS
GBUM72102400,MERCURY,DAVE/KAMAL
GBAHS1900714,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B
GBAHT2000546,AIRPLANE MODE,NINES FT NSG
USUG12000586,AFTER HOURS,WEEKND
QMEU31910213,LOVE NWANTITI (AH AH AH),CKAY
GBARL2100623,BY YOUR SIDE,CALVIN HARRIS FT TOM GRENNAN
USSM11912588,ADORE YOU,HARRY STYLES
USRC11901584,NO GUIDANCE,CHRIS BROWN FT DRAKE
GB1102000937,HOLIDAY,LITTLE MIX
GBUM71906950,I'M READY,SAM SMITH & DEMI LOVATO
USAT22202139,ABOUT DAMN TIME,LIZZO
GBCPZ1916611,PUMP IT UP,ENDOR
USRC12002654,MIDNIGHT SKY,MILEY CYRUS
ITM381700091,BEGGIN,MANESKIN
USUM71911808,BALLIN',MUSTARD FT RODDY RICCH
USRE11100700,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE
USSM12204574,MADE YOU LOOK,MEGHAN TRAINOR
USUG11901025,COOL,JONAS BROTHERS
USWV22127497,WHAT ELSE CAN I DO,GUERRERO/BEATRIZ
GBARL1701373,PARADISE,GEORGE EZRA
USSM12209690,EDGING,BLINK 182
USAT21906943,KINGS & QUEENS,AVA MAX
USSM12203789,WAIT FOR U,FUTURE FT DRAKE & TEMS
USUG12101046,LEMON PEPPER FREESTYLE,DRAKE FT RICK ROSS
GBUM72104705,COLD HEART,ELTON JOHN & DUA LIPA
GB2DY2000583,FERRARI HORSES,D-BLOCK EUROPE/RAYE
QZMZ92106222,WASTED,DIGGA D FT ARRDEE
NZUM72100178,SOLAR POWER,LORDE
GBUM72005075,PARADISE,MEDUZA FT DERMOT KENNEDY
GBUM71905296,THUMB,M HUNCHO FT NAFE SMALLZ
QM6N22087511,COME OVER,JORJA SMITH FT POPCAAN
USUV72002854,DAISIES,KATY PERRY
GBBKS1000351,SOMEONE LIKE YOU,ADELE
GB2DY1900435,NOOKIE,D-BLOCK EUROPE FT LIL BABY
GBCEL2200516,BODY PAINT,ARCTIC MONKEYS
DEUM71806776,SOMEONE YOU LOVED,LEWIS CAPALDI
USUM71923046,YUMMY,JUSTIN BIEBER
GB2DY2100170,TOXIC,DIGGA D
CYA112001078,THE MOTTO,TIESTO & AVA MAX
USUG12002597,SMILE,JUICE WRLD & WEEKND
GBUM72004743,SEE NOBODY,WES NELSON & HARDY CAPRIO
QMJMT2103572,T R A N S P A R E N T S O U L,WILLOW FT TRAVIS BARKER
QM6MZ2004571,WHO'S THAT WHAT'S THAT,NIKO B
GBUM72103036,SEVENTEEN GOING UNDER,SAM FENDER
USAT22204901,LAST LAST,BURNA BOY
USRC12200322,SHE'S ALL I WANNA BE,TATE MCRAE
USUM71924264,HEATHER,CONAN GRAY
GBUM71807035,HELLO MY LOVE,WESTLIFE
GB2DY2000566,DESTINY,D-BLOCK EUROPE
USUM72208961,UNITED IN GRIEF,KENDRICK LAMAR
GB2DY2200729,4 THE WIN,D-BLOCK EUROPE
USUG12200313,CIGARETTES,JUICE WRLD
QMJMT2002693,MEET ME AT OUR SPOT,ANXIETY/WILLOW/TYLER COLE
GBARL1300107,ANOTHER LOVE,TOM ODELL
GBAHS2200288,WHAT WOULD YOU DO,JOEL CORRY/DAVID GUETTA/TILLER
USQX91901111,EARFQUAKE,TYLER THE CREATOR
USSM22201754,GHOST OF YOU,MIMI WEBB
GB1302000812,DELUDED,TION WAYNE FT MIST
QMRSZ2101877,LOSE,KSI & LIL WAYNE
GBUM71905524,BETTER OFF WITHOUT YOU,BECKY HILL FT SHIFT K3Y
USSM11914320,ROXANNE,ARIZONA ZERVAS
GBUM72300969,IF WE EVER BROKE UP,MAE STEPHENS
QM6MZ1960807,GREAZE MODE,SKEPTA & NAFE SMALLZ
USA2P2251867,SET ME FREE - PT 2,JIMIN
ZZOPM2220577,BIRTHDAY CAKE,DYLAN CONRIQUE
DEUM72204717,FORGET ME,LEWIS CAPALDI
GBUM71802936,RING RING,JAX JONES/MABEL/RICH THE KID
GBCUW1900128,ROVER,S1MBA FT DTG
GBAHS2100577,WID IT,TION WAYNE & ARRDEE
QMRSZ1800283,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN
USMO17082641,SANTA CLAUS IS COMING TO TOWN,MICHAEL JACKSON & JACKSON FIVE
USC4R1902750,MARY ON A CROSS,GHOST
USAT22100910,LEAVE THE DOOR OPEN,SILK SONIC/BRUNO MARS/PAAK
USUM72302708,RED RUBY DA SLEEZE,NICKI MINAJ
GBARL1901421,EI8HT MILE,DIGDAT FT AITCH
GBAHT1900290,FASHION WEEK,STEEL BANGLEZ/TRACEY/MOSTACK
US39N2203950,LET GO,CENTRAL CEE
GB28K1800112,DON'T LEAVE ME ALONE,DAVID GUETTA FT ANNE-MARIE
GBAYE1900584,MOCKING IT,JAY1
USUV72008077,SHOW OUT,KID CUDI/SKEPTA/POP SMOKE
USAT22000162,WHATS POPPIN,JACK HARLOW
GBKPL1975842,WHERE WE'RE GOING,GERRY CINNAMON
GBAHT2200803,BIG CITY LIFE,LUUDE & MATTAFIX
USAT22004033,EGO DEATH,TY DOLLA SIGN/KANYE/FKA TWIGS
USSM12108553,I'LL BE HOME FOR CHRISTMAS,CAMILA CABELLO
GBARL2001640,ANYWHERE AWAY FROM HERE,RAG'N'BONE MAN & PINK
GB23J1700013,OH MY,DAPPY FT AY EM
BEHP42100067,WHERE ARE YOU NOW,LOST FREQUENCIES/CALUM SCOTT
GBUM72101848,NICE TO MEET YA,WES NELSON FT YXNG BANE
QZVBE2200009,HOTEL,MONTELL FISH
USQX92102562,WUSYANAME,TYLER THE CREATOR/YOUNGBOY/TY
USRC11900407,MY BAD,KHALID
GBAAA9301138,I'D DO ANYTHING FOR LOVE (BUT I WON'T DO,MEAT LOAF
GBARL2000408,TIMES LIKE THESE (BBC RADIO 1 STAY HOME),LIVE LOUNGE ALLSTARS
UK6KW1900364,I LOVE SAUSAGE ROLLS,LADBABY
GBAHS2000028,BIRTHDAY,ANNE-MARIE
QMJMT1801607,KOD,J COLE
USCM51800199,EMOTIONLESS,DRAKE
GBCEN1900047,RIDE IT,REGARD
GB1102001316,808,BEATFREAKZ/DUTCH/DIGDAT/YOUNG
GBUM72203157,MY G,AITCH & ED SHEERAN
GB1302001142,BLACK HOLE,GRIFF
DEUM71807719,PIECE OF YOUR HEART,MEDUZA FT GOODBOYS
GBAYE2101762,SPACE MAN,SAM RYDER
USUM71914275,DIOR,POP SMOKE
GBARL1901254,MUST BE,J HUS
USUM72104675,OXYTOCIN,BILLIE EILISH
GBMMW2100374,BORIS JOHNSON IS STILL A F**KING C**T,K**TS
USRC11902743,UNDER THE INFLUENCE,CHRIS BROWN
GBUM72005084,I MISS U,JAX JONES FT AU/RA
USUM71922597,SUPALONELY,BENEE FT GUS DAPPERTON
USUM72013019,MY FUTURE,BILLIE EILISH
USWB10400046,DREAMS,FLEETWOOD MAC
UKJM21900002,M.E.N. II,BUGZY MALONE
USUG12208598,RICH FLEX,DRAKE & 21 SAVAGE
QZJ842000370,LEMONADE,INTERNET MONEY/GUNNA/TOLIVER
GBARL1901395,NO DENYING,J HUS
USUM72002771,NO TIME TO DIE,BILLIE EILISH
USUM71808574,GOD IS A WOMAN,ARIANA GRANDE
QZNWX2052401,BORIS JOHNSON IS A F**KING C**T,K**TS
KRA402000131,ICE CREAM,BLACKPINK & SELENA GOMEZ
GBAYE2000847,BANDO DIARIES,DUTCHAVELLI
UKSQM1900020,PART OF THE PLAN,NAFE SMALLZ FT M HUNCHO
QM4TX2039607,PAPI CHULO,OCTAVIAN & SKEPTA
GBUM72005791,STRAIGHT MURDER (GIGGS & DAVID),GIGGS FT DAVE
USUG12000979,RIGHTEOUS,JUICE WRLD
QMEU31821955,MAMA,6IX9INE/NICKI MINAJ/KANYE WEST
GB1102100139,DON'T YOU WORRY ABOUT ME,BAD BOY CHILLER CREW
USUM72208034,LEMON TREE,POST MALONE
AUUM71800255,BE ALRIGHT,DEAN LEWIS
USRV82202035,TRUSTFALL,PINK
GBLFP2047391,HOLD,CHUNKZ & YUNG FILLY
GBAHS2100307,WOW,TION WAYNE
USUG11900303,ROBBERY,JUICE WRLD
USRC11703503,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON
USSM12101091,HEADSHOT,LIL TJAY/POLO G/FIVIO FOREIGN
GBUM71902944,HATE ME,ELLIE GOULDING & JUICE WRLD
USAT21704212,SNOWMAN,SIA
QMEU31821969,KIKA,6IX9INE FT TORY LANEZ
GBUM71904957,WHITE CHRISTMAS,BING CROSBY
USUM72105929,LOST CAUSE,BILLIE EILISH
QM4TW2344028,CALL ME WHAT YOU LIKE,LOVEJOY
USAT22007121,MY HEAD & MY HEART,AVA MAX
QZMEM2209263,HERE WITH ME,D4VD
USRC12004189,GOOD DAYS,SZA
USSM12106436,24/5,MIMI WEBB
USCM51900317,MEGATRON,NICKI MINAJ
USRC11800930,PRAISE THE LORD (DA SHINE),ASAP ROCKY FT SKEPTA
USUM71900396,NEEDY,ARIANA GRANDE
USSM11806283,NO BRAINER,DJ KHALED/BIEBER/QUAVO/CHANCE
USUG12207965,IN MY HEAD,JUICE WRLD
GBUM72107771,FLOWERS (SAY MY NAME),ARRDEE
GBUM72201012,COME & GO,ARRDEE
GBK3W1800737,GIVE YOURSELF A TRY,1975
GBARL1900666,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH
CYA111900146,RITUAL,TIESTO/JONAS BLUE/RITA ORA
